"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","","1",""
"C2","100nF","","1",""
"C3","100nF","","1",""
"C4","4.7uF","","1",""
"C5","100nF","","1",""
"C6","22pF","","1",""
"C7","22pF","","1",""
"D1","RED","","1",""
"D2","GREEN","","1",""
"J1","SWD","","1",""
"J2","SIM800L","","1",""
"J3","NRI_G13","","1",""
"L1","10uH","","1",""
"Q1","BC547","","1",""
"Q2","BC547","","1",""
"Q3","BC547","","1",""
"Q4","BC547","","1",""
"Q5","BC547","","1",""
"Q6","BC547","","1",""
"Q7","BC547","","1",""
"Q8","BC547","","1",""
"Q9","BC547","","1",""
"R1","10k","","1",""
"R2","10k","","1",""
"R3","4.7k","","1",""
"R4","4.7k","","1",""
"R5","10k","","1",""
"R6","1k","","1",""
"R7","2k","","1",""
"R8","10k","","1",""
"R9","10k","","1",""
"R10","10k","","1",""
"R11","10k","","1",""
"R12","10k","","1",""
"R13","10k","","1",""
"R14","10k","","1",""
"R15","10k","","1",""
"R16","10k","","1",""
"R17","10k","","1",""
"R18","10k","","1",""
"R19","10k","","1",""
"R20","10k","","1",""
"R21","10k","","1",""
"R22","10k","","1",""
"R23","10k","","1",""
"R24","10k","","1",""
"R25","10k","","1",""
"R26","10k","","1",""
"R27","10k","","1",""
"R28","10k","","1",""
"R29","4.7k","","1",""
"R30","1k","","1",""
"R31","1k","","1",""
"R32","10k","","1",""
"U1","STM32F103C8T6","","1",""
"U2","PCF8574P","","1",""
"U3","AT24C08","","1",""
"Y1","8MHz","","1",""
